title_desc,img,latitude,longitude
Appartamento 40mq vicino al centro città,img/01.jpg,21.91496,68.07008
B&B vicino alla stazione,img/02.jpg,-1.72817,-52.71022
Camera hotel spaziosa e accogliente,img/03.jpg,17.88398,18.38865
Appartamento in periferia con tanto spazio verde,img/04.jpg,38.72241,64.36709
Appartamento spazioso con cucina rimodernata,img/05.jpg,-9.8005,-64.59848
Piccola stanza in centro con vista,img/06.jpg,23.17352,65.50764
Villa vicino al mare 200mq,img/07.jpg,19.27412,-72.93669
Mansarda spaziosa con bagno e wifi,img/08.jpg,53.67865,81.76534
A Ca do Dria in Centro Storico,img/09.jpg,-28.65783,109.63456
Appartamento intero ELESTE Centro Storico,img/10.jpg,66.56443,40.98767
Vibe Loft,img/11.jpg,70.65432,-65.80679
Comodo servizi e lungomare,img/12.jpg,2.45678,175.45675
Camera matrimoniale con vista,img/13.jpg,56.76543,-34.67890
Comodo appartamento nei vicoli,img/14.jpg,65.45678,-26.76899
Casa di Silù con parcheggio / no barriere,img/15.jpg,76.87658,65.87659
Appartamento IL VICOLETTO..un passo da San Lorenzo,img/16.jpg,43.76548,-104.56789
Come a casa propria,img/17.jpg,56.76895,180.69548
Tranquillo bilocale nel verde a due passi dal mare,img/18.jpg,78.65479,-102.65784
Camera carina,img/19.jpg,76.76589,50.00000
K-Loft Rapallo/Portofino,img/20.jpg,40.00000, 70.00000